Model version,Pass@1,Pass@4,Harness,Reasoning effort,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,95% CI half-width,Runs,Mean cost (USD),Mean output tokens,Mean agent steps,Source,Notes
gpt-5.6-sol_max,0.7266666666666667,0.8584070796460178,mini-swe-agent,max,2026-07-09,OpenAI,United States of America,,,gpt-5-6-sol (max),0.02829822249837175,4,8.386436346666667,60013.64444444444,61.25333333333333,https://deepswe.datacurve.ai/,
gpt-5.6-sol_xhigh,0.7073170731707318,0.8584070796460178,mini-swe-agent,xhigh,2026-07-09,OpenAI,United States of America,,,gpt-5-6-sol (xhigh),0.008191117217343103,4,4.703663860310422,40744.59201773836,44.0,https://deepswe.datacurve.ai/,
claude-fable-5_xhigh,0.6991150442477876,0.8849557522123894,mini-swe-agent,xhigh,2026-06-09,Anthropic,United States of America,,,claude-fable-5 (xhigh),0.03244917575471319,4,13.414521495535714,80352.1703539823,68.40044247787611,https://deepswe.datacurve.ai/,
claude-fable-5_max,0.6972477064220184,0.84070796460177,mini-swe-agent,max,2026-06-09,Anthropic,United States of America,,,claude-fable-5 (max),0.04033474250807936,4,21.634702092592594,118592.77293577982,88.4288990825688,https://deepswe.datacurve.ai/,
gpt-5.6-terra_max,0.6962305986696231,0.8849557522123894,mini-swe-agent,max,2026-07-09,OpenAI,United States of America,,,gpt-5-6-terra (max),0.025569389504458404,4,4.945847263858093,71938.62527716186,75.9290465631929,https://deepswe.datacurve.ai/,
gpt-5.6-sol_high,0.6940133037694013,0.8672566371681416,mini-swe-agent,high,2026-07-09,OpenAI,United States of America,,,gpt-5-6-sol (high),0.014321452203772357,4,3.4698331108647453,28450.31929046563,36.889135254988915,https://deepswe.datacurve.ai/,
claude-fable-5_high,0.6860465116279071,0.8672566371681416,mini-swe-agent,high,2026-06-09,Anthropic,United States of America,,,claude-fable-5 (high),0.011208427174303877,4,9.177638214788733,57287.06976744186,58.73720930232558,https://deepswe.datacurve.ai/,
gpt-5.6-luna_max,0.671875,0.9026548672566371,mini-swe-agent,max,2026-07-09,OpenAI,United States of America,,,gpt-5-6-luna (max),0.03992001235671055,4,3.028116810267857,73399.70758928571,101.68080357142857,https://deepswe.datacurve.ai/,
gpt-5.5_xhigh,0.6703539823008849,0.8849557522123894,mini-swe-agent,xhigh,2026-04-23,OpenAI,United States of America,,,gpt-5-5 (xhigh),0.06465646340908864,4,7.226236674778761,46294.72345132743,82.01548672566372,https://deepswe.datacurve.ai/,
gpt-5.5_high,0.6438053097345133,0.9026548672566371,mini-swe-agent,high,2026-04-23,OpenAI,United States of America,,,gpt-5-5 (high),0.031168426495054677,4,5.100437004424779,31159.49778761062,61.924778761061944,https://deepswe.datacurve.ai/,
gpt-5.6-sol_medium,0.6106194690265486,0.8053097345132745,mini-swe-agent,medium,2026-07-09,OpenAI,United States of America,,,gpt-5-6-sol (medium),0.01583357649307215,4,1.8620318075221238,18425.216814159292,30.913716814159294,https://deepswe.datacurve.ai/,
gpt-5.6-terra_xhigh,0.6017699115044248,0.8053097345132745,mini-swe-agent,xhigh,2026-07-09,OpenAI,United States of America,,,gpt-5-6-terra (xhigh),0.021242972019271257,4,2.127191725663717,39616.53982300885,43.06637168141593,https://deepswe.datacurve.ai/,
claude-opus-4-8_max,0.5897435897435898,0.7927927927927928,mini-swe-agent,max,2026-05-28,Anthropic,United States of America,,,claude-opus-4-8 (max),0.01764815347429254,4,13.222583593240094,135031.67132867133,120.0,https://deepswe.datacurve.ai/,
gpt-5.6-luna_xhigh,0.5685840707964602,0.7876106194690266,mini-swe-agent,xhigh,2026-07-09,OpenAI,United States of America,,,gpt-5-6-luna (xhigh),0.021681017528097975,4,1.5356192685840708,44677.900442477876,71.09955752212389,https://deepswe.datacurve.ai/,
claude-opus-4-8_xhigh,0.5436241610738255,0.8053097345132745,mini-swe-agent,xhigh,2026-05-28,Anthropic,United States of America,,,claude-opus-4-8 (xhigh),0.03713430628094476,4,8.006355704138702,86088.7874720358,94.64429530201342,https://deepswe.datacurve.ai/,
gpt-5.5_medium,0.5398230088495575,0.7787610619469026,mini-swe-agent,medium,2026-04-23,OpenAI,United States of America,,,gpt-5-5 (medium),0.02553087495290979,4,2.749342734513274,19625.433628318584,45.982300884955755,https://deepswe.datacurve.ai/,
claude-sonnet-5_max,0.5384615384615384,0.7876106194690266,mini-swe-agent,max,2026-06-30,Anthropic,United States of America,,,claude-sonnet-5 (max),0.04236916470174386,4,26.399858950791852,214117.54977375566,268.4547511312217,https://deepswe.datacurve.ai/,
gpt-5.6-terra_high,0.5376106194690266,0.8053097345132745,mini-swe-agent,high,2026-07-09,OpenAI,United States of America,,,gpt-5-6-terra (high),0.043289704672135526,4,1.1343762765486725,21517.03982300885,33.51327433628319,https://deepswe.datacurve.ai/,
muse-spark-1.1,0.5331858407079646,0.7964601769911505,mini-swe-agent,xhigh,2026-07-09,Meta AI,United States of America,,,muse-spark-1-1 (xhigh),0.030353424539337117,4,2.361142644469026,74008.4203539823,95.82522123893806,https://deepswe.datacurve.ai/,
claude-opus-4-8_high,0.5176991150442478,0.7787610619469026,mini-swe-agent,high,2026-05-28,Anthropic,United States of America,,,claude-opus-4-8 (high),0.04561609145755844,4,4.281940017699115,50063.52654867257,72.5,https://deepswe.datacurve.ai/,
gpt-5.4-2026-03-05_xhigh,0.5176991150442478,0.7787610619469026,mini-swe-agent,xhigh,2026-03-05,OpenAI,United States of America,,,gpt-5-4 (xhigh),0.015021049567382833,4,5.6524577245575225,71408.87389380531,70.47123893805309,https://deepswe.datacurve.ai/,
claude-sonnet-5_xhigh,0.49667405764966743,0.7522123893805309,mini-swe-agent,xhigh,2026-06-30,Anthropic,United States of America,,,claude-sonnet-5 (xhigh),0.034545489916778645,4,11.890634540022173,120698.59201773835,185.53215077605321,https://deepswe.datacurve.ai/,
claude-opus-4-8_medium,0.48672566371681414,0.7610619469026548,mini-swe-agent,medium,2026-05-28,Anthropic,United States of America,,,claude-opus-4-8 (medium),0.02239205861737452,4,3.4438571028761062,41313.45132743363,65.57300884955752,https://deepswe.datacurve.ai/,
claude-sonnet-5_high,0.4823008849557522,0.7964601769911505,mini-swe-agent,high,2026-06-30,Anthropic,United States of America,,,claude-sonnet-5 (high),0.045063148702148406,4,7.425560161197339,87294.75609756098,146.57649667405764,https://deepswe.datacurve.ai/,
gpt-5.6-sol_low,0.45353982300884954,0.7168141592920354,mini-swe-agent,low,2026-07-09,OpenAI,United States of America,,,gpt-5-6-sol (low),0.0238819467145892,4,1.0742664646017699,10579.141592920354,23.358407079646017,https://deepswe.datacurve.ai/,
gpt-5.6-luna_high,0.4424778761061947,0.7522123893805309,mini-swe-agent,high,2026-07-09,OpenAI,United States of America,,,gpt-5-6-luna (high),0.029195672479165317,4,0.7779007499999999,25778.274336283186,49.02212389380531,https://deepswe.datacurve.ai/,
glm-5.2_max,0.4377777777777778,0.7699115044247787,mini-swe-agent,max,2026-06-16,Z.ai (Zhipu AI),China,,,glm-5-2 (max),0.01725629620580811,4,3.9199075743111114,78175.30666666667,129.12666666666667,https://deepswe.datacurve.ai/,
claude-opus-4-8_low,0.4079822616407982,0.6814159292035398,mini-swe-agent,low,2026-05-28,Anthropic,United States of America,,,claude-opus-4-8 (low),0.014635847585691517,4,2.293369216740577,28922.736141906873,53.97782705099778,https://deepswe.datacurve.ai/,
glm-5.2_high,0.36283185840707965,0.6814159292035398,mini-swe-agent,high,2026-06-16,Z.ai (Zhipu AI),China,,,glm-5-2 (high),0.047500729479216554,4,2.8355164725663715,54245.50442477876,121.88274336283186,https://deepswe.datacurve.ai/,
gpt-5.6-terra_medium,0.3511111111111111,0.6017699115044248,mini-swe-agent,medium,2026-07-09,OpenAI,United States of America,,,gpt-5-6-terra (medium),0.03381964303406632,4,0.5832493688888889,11746.56,25.14666666666667,https://deepswe.datacurve.ai/,
kimi-k2.7-code,0.3053097345132743,0.6106194690265486,mini-swe-agent,,2026-06-12,Moonshot,China,,,kimi-k2-7-code,0.0050070165224609135,4,2.815536243274336,59297.24778761062,149.1150442477876,https://deepswe.datacurve.ai/,
claude-sonnet-4-6_high,0.29933481152993346,0.5663716814159292,mini-swe-agent,high,2026-02-17,Anthropic,United States of America,,,claude-sonnet-4-6 (high),0.04092141269189136,4,5.5223517987804875,76160.31263858093,133.65853658536585,https://deepswe.datacurve.ai/,
gpt-5.5_low,0.26991150442477874,0.4778761061946903,mini-swe-agent,low,2026-04-23,OpenAI,United States of America,,,gpt-5-5 (low),0.02294503222007181,4,1.2002025442477877,9442.774336283186,28.06637168141593,https://deepswe.datacurve.ai/,
gpt-5.6-terra_low,0.24053452115812918,0.4424778761061947,mini-swe-agent,low,2026-07-09,OpenAI,United States of America,,,gpt-5-6-terra (low),0.007767613669447833,4,0.4277452605790646,8572.26280623608,21.456570155902003,https://deepswe.datacurve.ai/,
gemini-3.1-pro-preview,0.1172566371681416,0.2831858407079646,mini-swe-agent,high,2026-02-19,Google DeepMind,United States of America,,,gemini-3-1-pro-preview (high),0.01481095461108845,4,2.1434045568888886,28368.884444444444,75.56444444444445,https://deepswe.datacurve.ai/,
gpt-5.6-luna_medium,0.11283185840707964,0.2743362831858407,mini-swe-agent,medium,2026-07-09,OpenAI,United States of America,,,gpt-5-6-luna (medium),0.008303197562056514,4,0.21630978982300886,8179.570796460177,23.67699115044248,https://deepswe.datacurve.ai/,
gpt-5.6-luna_low,0.015486725663716814,0.04424778761061947,mini-swe-agent,low,2026-07-09,OpenAI,United States of America,,,gpt-5-6-luna (low),0.008303197562056514,4,0.07240623938053097,3127.754424778761,12.464601769911505,https://deepswe.datacurve.ai/,
claude-opus-5_max,0.7364864864864865,0.8849557522123894,mini-swe-agent,max,2026-07-24,Anthropic,United States of America,,,claude-opus-5 (max),0.03872310426371729,4,11.837583271396396,117565.6936936937,99.0427927927928,https://deepswe.datacurve.ai/,
claude-opus-5_xhigh,0.7315436241610739,0.8584070796460178,mini-swe-agent,xhigh,2026-07-24,Anthropic,United States of America,,,claude-opus-5 (xhigh),0.030609818216384643,4,9.07220232326622,91672.01565995526,88.7248322147651,https://deepswe.datacurve.ai/,
claude-opus-5_high,0.7282850779510023,0.8761061946902655,mini-swe-agent,high,2026-07-24,Anthropic,United States of America,,,claude-opus-5 (high),0.019454321571601495,4,6.076084489977728,64207.43429844098,72.92204899777283,https://deepswe.datacurve.ai/,
claude-opus-5_medium,0.6890380313199106,0.8938053097345133,mini-swe-agent,medium,2026-07-24,Anthropic,United States of America,,,claude-opus-5 (medium),0.011725586658930944,4,3.28978764541387,36981.530201342284,52.29530201342282,https://deepswe.datacurve.ai/,
kimi-k3_max,0.6851441241685144,0.8938053097345133,mini-swe-agent,max,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",kimi-k3 (max),0.045370140792823206,4,4.654682129933482,81499.84257206209,97.58758314855876,https://deepswe.datacurve.ai/,
claude-fable-5_medium,0.6536697247706422,0.831858407079646,mini-swe-agent,medium,2026-06-09,Anthropic,United States of America,,,claude-fable-5 (medium),0.044219288792381656,4,6.088186528935186,40201.35321100918,48.36697247706422,https://deepswe.datacurve.ai/,
claude-fable-5_low,0.5958429561200924,0.8141592920353984,mini-swe-agent,low,2026-06-09,Anthropic,United States of America,,,claude-fable-5 (low),0.027940054451297294,4,3.757873125874126,25242.833718244805,37.79907621247113,https://deepswe.datacurve.ai/,
claude-opus-5_low,0.5812917594654788,0.8495575221238939,mini-swe-agent,low,2026-07-24,Anthropic,United States of America,,,claude-opus-5 (low),0.023306879466842727,4,1.6626223919821828,19884.3140311804,35.641425389755014,https://deepswe.datacurve.ai/,
grok-4.5_high,0.5376106194690266,0.7787610619469026,mini-swe-agent,high,2026-07-08,xAI,United States of America,,,grok-4-5 (high),0.0228080457287792,4,2.4157481725663716,35525.33185840708,61.33185840707964,https://deepswe.datacurve.ai/,
gemini-3.6-flash_high,0.4668141592920354,0.7522123893805309,mini-swe-agent,high,2026-07-21,Google DeepMind,United States of America,,,gemini-3-6-flash (high),0.037048538992472776,4,4.419013277333334,95844.86222222222,116.73333333333333,https://deepswe.datacurve.ai/,
claude-sonnet-5_medium,0.3977777777777778,0.6460176991150443,mini-swe-agent,medium,2026-06-30,Anthropic,United States of America,,,claude-sonnet-5 (medium),0.03127576206329727,4,4.079036229,56816.753333333334,107.61111111111111,https://deepswe.datacurve.ai/,
gemini-3.5-flash_medium,0.37389380530973454,0.6637168141592921,mini-swe-agent,medium,2026-05-19,Google DeepMind,United States of America,,,gemini-3-5-flash (medium),0.01787862506784315,4,7.341823985508849,275777.50884955755,85.71681415929204,https://deepswe.datacurve.ai/,
claude-sonnet-5_low,0.3051224944320713,0.5752212389380531,mini-swe-agent,low,2026-06-30,Anthropic,United States of America,,,claude-sonnet-5 (low),0.011260175414427497,4,2.1865550832962137,35595.08240534521,76.88864142538975,https://deepswe.datacurve.ai/,
grok-4.6_medium,0.6747787610619469,0.84070796460177,mini-swe-agent,medium,2026-08-12,xAI,United States of America,,,grok-4-6 (medium),0.0228080457287792,4,3.4489837522123894,49763.99778761062,70.28982300884955,https://deepswe.datacurve.ai/,
grok-4.6_xhigh,0.6674057649667405,0.8495575221238939,mini-swe-agent,xhigh,2026-08-12,xAI,United States of America,,,grok-4-6 (xhigh),0.021756842244050494,4,5.497668745011087,71403.54323725056,87.21951219512195,https://deepswe.datacurve.ai/,
grok-4.6_high,0.6518847006651884,0.8495575221238939,mini-swe-agent,high,2026-08-12,xAI,United States of America,,,grok-4-6 (high),0.015336008186572951,4,4.3848732239467845,61160.94456762749,78.960088691796,https://deepswe.datacurve.ai/,
qwen3.8-max_xhigh,0.5746102449888641,0.831858407079646,mini-swe-agent,xhigh,2026-08-02,Alibaba,China,,,qwen3-8-max (xhigh),0.026627926725075454,4,3.7290646500445437,95075.18262806236,111.33853006681514,https://deepswe.datacurve.ai/,
grok-4.6_low,0.41648106904231624,0.6902654867256637,mini-swe-agent,low,2026-08-12,xAI,United States of America,,,grok-4-6 (low),0.023186517644299014,4,1.0423604231625836,16458.3429844098,44.18708240534521,https://deepswe.datacurve.ai/,
gemini-3.5-flash_high,0.3606194690265487,0.6371681415929203,mini-swe-agent,high,2026-05-19,Google DeepMind,United States of America,,,gemini-3-5-flash (high),0.03966303010520439,4,3.4467114588691796,75730.19290465632,105.30376940133037,https://deepswe.datacurve.ai/,
gemini-3.7-flash_medium,0.6548672566371682,0.831858407079646,mini-swe-agent,medium,2026-08-13,Google DeepMind,United States of America,,,gemini-3-7-flash (medium),0.030865322764155222,4,2.0251351826880533,93990.8517699115,117.36946902654867,https://deepswe.datacurve.ai/,
gemini-3.7-flash_high,0.6526548672566371,0.8230088495575221,mini-swe-agent,high,2026-08-13,Google DeepMind,United States of America,,,gemini-3-7-flash (high),0.017878625067843174,4,2.1762860351216813,107248.30309734514,124.51548672566372,https://deepswe.datacurve.ai/,
gemini-3.7-flash_low,0.5376106194690266,0.7787610619469026,mini-swe-agent,low,2026-08-13,Google DeepMind,United States of America,,,gemini-3-7-flash (low),0.02589649081831869,4,1.8322645629424779,73364.9557522124,130.37610619469027,https://deepswe.datacurve.ai/,
glm-5.3_max,0.6895787139689579,0.8761061946902655,mini-swe-agent,max,2026-08-14,Z.ai (Zhipu AI),China,,,glm-5-3 (max),0.030186512715587,4,3.9933584893126386,80435.60975609756,124.47228381374723,https://deepswe.datacurve.ai/,
muse-spark-1.2_xhigh,0.5486725663716814,0.8141592920353984,mini-swe-agent,xhigh,2026-08-05,Meta AI,United States of America,,,muse-spark-1-2 (xhigh),0.02124297201927127,4,3.6955048180309733,99226.38053097345,100.75884955752213,https://deepswe.datacurve.ai/,
gemini-3.8-flash_high,0.738255033557047,0.8584070796460178,mini-swe-agent,high,2026-09-02,Google DeepMind,United States of America,,,gemini-3-8-flash (high),0.014173132066358783,4,2.362349413758389,143242.6644295302,166.3131991051454,https://deepswe.datacurve.ai/,
gemini-3.8-flash_medium,0.7101769911504425,0.831858407079646,mini-swe-agent,medium,2026-09-02,Google DeepMind,United States of America,,,gemini-3-8-flash (medium),0.02280804572877925,4,1.9671024789823006,124684.36283185841,147.30088495575222,https://deepswe.datacurve.ai/,
glm-5.3-flash_max,0.6339285714285714,0.8495575221238939,mini-swe-agent,max,2026-08-20,Z.ai (Zhipu AI),China,,,glm-5-3-flash (max),0.04377970751693644,4,0.48196371245535713,72829.77008928571,122.890625,https://deepswe.datacurve.ai/,
