Name,Task SR,Release date,Organization,Result public date,Source,Source link,id
GPT-3.5-Turbo,0.249,2023-03-01,OpenAI,2025-01-19,EAI v3 Table 12,https://arxiv.org/html/2410.07166v3,eai-gpt35
GPT-4-Turbo,0.600,2023-11-06,OpenAI,2025-01-19,EAI v3 Table 12,https://arxiv.org/html/2410.07166v3,eai-gpt4turbo
Gemini-1.0-Pro,0.456,2023-12-06,Google,2025-01-19,EAI v3 Table 12,https://arxiv.org/html/2410.07166v3,eai-gemini10
Claude-3-Opus,0.649,2024-03-04,Anthropic,2025-01-19,EAI v3 Table 12,https://arxiv.org/html/2410.07166v3,eai-claude3opus
Claude-3-Sonnet,0.584,2024-03-04,Anthropic,2025-01-19,EAI v3 Table 12,https://arxiv.org/html/2410.07166v3,eai-claude3sonnet
Claude-3-Haiku,0.548,2024-03-13,Anthropic,2025-01-19,EAI v3 Table 12,https://arxiv.org/html/2410.07166v3,eai-claude3haiku
Llama-3-8B,0.213,2024-04-18,Meta,2025-01-19,EAI v3 Table 12,https://arxiv.org/html/2410.07166v3,eai-llama38
Llama-3-70B,0.590,2024-04-18,Meta,2025-01-19,EAI v3 Table 12,https://arxiv.org/html/2410.07166v3,eai-llama370
Gemini-1.5-Flash,0.695,2024-05-14,Google,2025-01-19,EAI v3 Table 12,https://arxiv.org/html/2410.07166v3,eai-gemini15flash
Claude-3.5-Sonnet,0.767,2024-06-20,Anthropic,2025-01-19,EAI v3 Table 12,https://arxiv.org/html/2410.07166v3,eai-claude35
GPT-4o,0.715,2024-05-13,OpenAI,2025-01-19,EAI v3 Table 12,https://arxiv.org/html/2410.07166v3,eai-gpt4o
o1-mini,0.715,2024-09-12,OpenAI,2025-01-19,EAI v3 Table 12,https://arxiv.org/html/2410.07166v3,eai-o1mini
o1-preview,0.652,2024-09-12,OpenAI,2025-01-19,EAI v3 Table 12,https://arxiv.org/html/2410.07166v3,eai-o1preview
