Model version,Average Score,Release date,Organization,Country,Name,Notes,Source,Source link,id,Evaluation date
gpt-4o,0.3603,2024-05-13,OpenAI,United States of America,GPT-4o,"EngDesign-Open fixed 67-task subset; Average Score, three independent trials per task. Iterative Average Pass Rate is separate.",EngDesign,https://openreview.net/pdf/7bb9d9e3eab17e0fc815f8ee8ea8b11c983eef7d.pdf,engdesign-gpt-4o,2025-06-18
deepseek-v3,0.315,2024-12-26,DeepSeek,China,DeepSeek-V3,"EngDesign-Open fixed 67-task subset; Average Score, three independent trials per task.",EngDesign,https://openreview.net/pdf/7bb9d9e3eab17e0fc815f8ee8ea8b11c983eef7d.pdf,engdesign-deepseek-v3,2025-06-18
gemini-2-0-flash,0.3474,2024-12-11,Google,United States of America,Gemini 2.0 Flash,"EngDesign-Open fixed 67-task subset; Average Score, three independent trials per task.",EngDesign,https://openreview.net/pdf/7bb9d9e3eab17e0fc815f8ee8ea8b11c983eef7d.pdf,engdesign-gemini-2-0-flash,2025-06-18
claude-3-7-sonnet,0.3871,2025-02-24,Anthropic,United States of America,Claude 3.7 Sonnet,"EngDesign-Open fixed 67-task subset; Average Score, three independent trials per task.",EngDesign,https://openreview.net/pdf/7bb9d9e3eab17e0fc815f8ee8ea8b11c983eef7d.pdf,engdesign-claude-3-7-sonnet,2025-06-18
deepseek-r1,0.4566,2025-01-20,DeepSeek,China,DeepSeek-R1,"EngDesign-Open fixed 67-task subset; Average Score, three independent trials per task.",EngDesign,https://openreview.net/pdf/7bb9d9e3eab17e0fc815f8ee8ea8b11c983eef7d.pdf,engdesign-deepseek-r1,2025-06-18
gemini-2-5-pro,0.4788,2025-03-25,Google,United States of America,Gemini 2.5 Pro,"EngDesign-Open fixed 67-task subset; Average Score, three independent trials per task.",EngDesign,https://openreview.net/pdf/7bb9d9e3eab17e0fc815f8ee8ea8b11c983eef7d.pdf,engdesign-gemini-2-5-pro,2025-06-18
o1,0.5164,2024-09-12,OpenAI,United States of America,o1,"EngDesign-Open fixed 67-task subset; Average Score, three independent trials per task.",EngDesign,https://openreview.net/pdf/7bb9d9e3eab17e0fc815f8ee8ea8b11c983eef7d.pdf,engdesign-o1,2025-06-18
o3,0.4748,2025-04-16,OpenAI,United States of America,o3,"EngDesign-Open fixed 67-task subset; Average Score, three independent trials per task.",EngDesign,https://openreview.net/pdf/7bb9d9e3eab17e0fc815f8ee8ea8b11c983eef7d.pdf,engdesign-o3,2025-06-18
o3-high,0.4961,2025-04-16,OpenAI,United States of America,o3 (high),"EngDesign-Open fixed 67-task subset; Average Score, three independent trials per task.",EngDesign,https://openreview.net/pdf/7bb9d9e3eab17e0fc815f8ee8ea8b11c983eef7d.pdf,engdesign-o3-high,2025-06-18
o4-mini,0.5208,2025-04-16,OpenAI,United States of America,o4-mini,"EngDesign-Open fixed 67-task subset; Average Score, three independent trials per task.",EngDesign,https://openreview.net/pdf/7bb9d9e3eab17e0fc815f8ee8ea8b11c983eef7d.pdf,engdesign-o4-mini,2025-06-18
o4-mini-high,0.5402,2025-04-16,OpenAI,United States of America,o4-mini (high),"EngDesign-Open fixed 67-task subset; Average Score, three independent trials per task.",EngDesign,https://openreview.net/pdf/7bb9d9e3eab17e0fc815f8ee8ea8b11c983eef7d.pdf,engdesign-o4-mini-high,2025-06-18
claude-3-7-thinking,0.3474,2025-02-24,Anthropic,United States of America,Claude 3.7 Sonnet Thinking,"EngDesign-Open fixed 67-task subset; Average Score, three independent trials per task.",EngDesign,https://openreview.net/pdf/7bb9d9e3eab17e0fc815f8ee8ea8b11c983eef7d.pdf,engdesign-claude-3-7-thinking,2025-06-18
