Model version,Scaffold,Score OPT@1,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Score OPT@10,Notes,Source,Source link,OPT@1 (hack-adjusted),OPT@10 (hack-adjusted),Evaluation date,id
claude-opus-4-8_unknown,OpenHands,0.4706,2026-05-28,Anthropic,United States of America,,,,,https://gso-bench.github.io/index.html,,0.4706,,2026-07-12,recD2WNrQUHIATHKH
claude-opus-4-7_high,OpenHands,0.4412,2026-04-16,Anthropic,United States of America,,,,,https://gso-bench.github.io/index.html,,0.4216,,2026-04-27,reccHX8eA2pr1NUgv
claude-opus-4-7,OpenHands,0.4412,2026-04-16,Anthropic,United States of America,,,,,GSO Leaderboard,,0.4216,,2026-04-27,recB6g5swe17tSdKR
claude-opus-4-6_high,OpenHands,0.412,2026-02-05,Anthropic,United States of America,,,,,GSO Leaderboard,,0.373,,2026-04-27,recyQlfHiilyasE8b
gpt-5.5_xhigh,OpenHands,0.402,2026-04-23,OpenAI,United States of America,,,0.402,,https://gso-bench.github.io/index.html,,0.3725,0.373,2026-04-27,recbfEoFyIqdyNOkl
claude-sonnet-5_unknown,OpenHands,0.3725,2026-06-30,Anthropic,United States of America,,,,,https://gso-bench.github.io/index.html,,0.3627,,2026-07-12,recWjLztriPDdu5G8
claude-opus-4-6_unknown,OpenHands,0.3333,2026-02-05,Anthropic,United States of America,,,,,GSO Leaderboard,,0.3039,,2026-02-11,recjWm0x4FyWwetTo
claude-opus-4-6,OpenHands,0.3333,2026-02-05,Anthropic,United States of America,,,,,GSO Leaderboard,,0.3039,,2026-04-27,reco0a5ivM5mr8sai
gpt-5.4-2026-03-05_xhigh,OpenHands,0.31370000000000003,2026-03-05,OpenAI,United States of America,,,,,https://gso-bench.github.io/index.html,,0.3039,,2026-03-10,reco2vF4MBsh4TlN3
gpt-5.2-2025-12-11_high,OpenHands,0.2745,2025-12-11,OpenAI,United States of America,,,,,https://gso-bench.github.io/index.html,,0.2647,,2025-12-18,reco6scbTaMu1KpKP
claude-opus-4-5-20251101,OpenHands,0.265,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,,,GSO Leaderboard,https://gso-bench.github.io/leaderboard.html,,,,recj4DxItKjOUYsAN
