Name,Accuracy,Release date,Organization,Result public date,Source,Source link,id
Gemini 3 Pro,82.2,2025-11-18,Google DeepMind,2026-03-20,MADQA Table 3,https://arxiv.org/html/2603.12180v2,madqa-00
Claude Sonnet 4.5 (2025-09),80.6,2025-09-29,Anthropic,2026-03-20,MADQA Table 3,https://arxiv.org/html/2603.12180v2,madqa-01
GPT-5 (2025-08),77.7,2025-08-07,OpenAI,2026-03-20,MADQA Table 3,https://arxiv.org/html/2603.12180v2,madqa-02
Claude Haiku 4.5 (2025-10),68.2,2025-10-15,Anthropic,2026-03-20,MADQA Table 3,https://arxiv.org/html/2603.12180v2,madqa-03
GPT-5.2 (2025-12),67.8,2025-12-11,OpenAI,2026-03-20,MADQA Table 3,https://arxiv.org/html/2603.12180v2,madqa-04
GPT-5 Mini (2025-08),66.9,2025-08-07,OpenAI,2026-03-20,MADQA Table 3,https://arxiv.org/html/2603.12180v2,madqa-05
GLM-4.6V,66.1,,Z.ai,2026-03-20,MADQA Table 3,https://arxiv.org/html/2603.12180v2,madqa-06
Qwen3-VL (235B-A22B-Thinking),60.3,2025-09-23,Alibaba,2026-03-20,MADQA Table 3,https://arxiv.org/html/2603.12180v2,madqa-07
GPT-4.1 (2025-04),60.0,2025-04-14,OpenAI,2026-03-20,MADQA Table 3,https://arxiv.org/html/2603.12180v2,madqa-08
Gemini 2.5 Flash,58.5,2025-04-17,Google DeepMind,2026-03-20,MADQA Table 3,https://arxiv.org/html/2603.12180v2,madqa-09
GPT-5 Nano (2025-08),58.2,2025-08-07,OpenAI,2026-03-20,MADQA Table 3,https://arxiv.org/html/2603.12180v2,madqa-10
Qwen3-VL (8B-Thinking),47.3,2025-10-15,Alibaba,2026-03-20,MADQA Table 3,https://arxiv.org/html/2603.12180v2,madqa-11
GLM-4.6V Flash,46.0,,Z.ai,2026-03-20,MADQA Table 3,https://arxiv.org/html/2603.12180v2,madqa-12
GPT-4.1 Nano (2025-04),19.5,2025-04-14,OpenAI,2026-03-20,MADQA Table 3,https://arxiv.org/html/2603.12180v2,madqa-13
